ID,publishedDate,lastModifiedDate,Vendor,Product,Type,Description,clean_description,cvssV2_confidentialityImpact,cvssV2_integrityImpact,cvssV2_availabilityImpact,cvssV2_accessVector,cvssV2_accessComplexity,cvssV2_authentication,cvssV2_obtainOtherPrivilege,cvssV2_obtainAllPrivilege,cvssV2_obtainUserPrivilege,ImpactScore,ExploitabilityScore,BaseScore
CVE-2015-6839,2017-10-23T18:29Z,2017-11-17T16:04Z,['grupo_msa'],['vot.ar_3.1'],CWE-20,"The parse function in MSA vot.Ar 3.1 does not check whether a candidate receives more than one vote, which allows physically proximate attackers to cast multiple votes for a candidate via a crafted RFID ballot tag.",parse function msa vot.ar 3.1 check whether candidate receives one vote allows physically proximate attackers cast multiple votes candidate crafted rfid ballot tag,NONE,NONE,NONE,LOCAL,LOW,NONE,FALSE,FALSE,FALSE,0.0,3.9,0.0
CVE-2018-4833,2018-06-14T16:29Z,2020-01-16T16:15Z,"['siemens', 'cpe']","['rfid_181-eip_firmware_-', '2.3_h', 'rfid_181-eip_firmware_-', '2.3_h', 'ruggedcom_wimax_firmware_4.4', 'ruggedcom_wimax_firmware_4.5', '2.3_h', 'rfid_181-eip_firmware_-', '2.3_h', 'ruggedcom_wimax_firmware_4.4', 'ruggedcom_wimax_firmware_4.5', '2.3_h', 'scalance_x200_firmware_*', '2.3_h', 'rfid_181-eip_firmware_-', '2.3_h', 'ruggedcom_wimax_firmware_4.4', 'ruggedcom_wimax_firmware_4.5', '2.3_h', 'scalance_x200_firmware_*', '2.3_h', 'scalance_x200irt_firmware_*', '2.3_h', 'rfid_181-eip_firmware_-', '2.3_h', 'ruggedcom_wimax_firmware_4.4', 'ruggedcom_wimax_firmware_4.5', '2.3_h', 'scalance_x200_firmware_*', '2.3_h', 'scalance_x200irt_firmware_*', '2.3_h', 'scalance_x204rna_firmware_-', '2.3_h', 'rfid_181-eip_firmware_-', '2.3_h', 'ruggedcom_wimax_firmware_4.4', 'ruggedcom_wimax_firmware_4.5', '2.3_h', 'scalance_x200_firmware_*', '2.3_h', 'scalance_x200irt_firmware_*', '2.3_h', 'scalance_x204rna_firmware_-', '2.3_h', 'scalance_x300_firmware_-', '2.3_h', 'rfid_181-eip_firmware_-', '2.3_h', 'ruggedcom_wimax_firmware_4.4', 'ruggedcom_wimax_firmware_4.5', '2.3_h', 'scalance_x200_firmware_*', '2.3_h', 'scalance_x200irt_firmware_*', '2.3_h', 'scalance_x204rna_firmware_-', '2.3_h', 'scalance_x300_firmware_-', '2.3_h', 'scalance_x408_firmware_-', '2.3_h', 'rfid_181-eip_firmware_-', '2.3_h', 'ruggedcom_wimax_firmware_4.4', 'ruggedcom_wimax_firmware_4.5', '2.3_h', 'scalance_x200_firmware_*', '2.3_h', 'scalance_x200irt_firmware_*', '2.3_h', 'scalance_x204rna_firmware_-', '2.3_h', 'scalance_x300_firmware_-', '2.3_h', 'scalance_x408_firmware_-', '2.3_h', 'scalance_x414_firmware_-', '2.3_h', 'rfid_181-eip_firmware_-', '2.3_h', 'ruggedcom_wimax_firmware_4.4', 'ruggedcom_wimax_firmware_4.5', '2.3_h', 'scalance_x200_firmware_*', '2.3_h', 'scalance_x200irt_firmware_*', '2.3_h', 'scalance_x204rna_firmware_-', '2.3_h', 'scalance_x300_firmware_-', '2.3_h', 'scalance_x408_firmware_-', '2.3_h', 'scalance_x414_firmware_-', '2.3_h', 'simatic_rf182c_firmware_-', '2.3_h']",CWE-20,"A vulnerability has been identified in RFID 181-EIP (All versions), RUGGEDCOM Win (V4.4, V4.5, V5.0, and V5.1), SCALANCE X-200 switch family (incl. SIPLUS NET variants) (All versions < V5.2.3), SCALANCE X-200IRT switch family (incl. SIPLUS NET variants) (All versions < V5.4.1), SCALANCE X-200RNA switch family (All versions < V3.2.6), SCALANCE X-300 switch family (incl. SIPLUS NET variants) (All versions < V4.1.3), SCALANCE X408 (All versions < V4.1.3), SCALANCE X414 (All versions), SIMATIC RF182C (All versions). Unprivileged remote attackers located in the same local network segment (OSI Layer 2) could gain remote code execution on the affected products by sending a specially crafted DHCP response to a client's DHCP request.",vulnerability identified rfid 181-eip all versions ruggedcom win v4.4 v4.5 v5.0 v5.1 scalance x-200 switch family incl. siplus net variants all versions < v5.2.3 scalance x-200irt switch family incl. siplus net variants all versions < v5.4.1 scalance x-200rna switch family all versions < v3.2.6 scalance x-300 switch family incl. siplus net variants all versions < v4.1.3 scalance x408 all versions < v4.1.3 scalance x414 all versions simatic rf182c all versions. unprivileged remote attackers located local network segment osi layer 2 could gain remote code execution affected products sending specially crafted dhcp response client dhcp request,PARTIAL,PARTIAL,PARTIAL,ADJACENT_NETWORK,LOW,NONE,FALSE,FALSE,FALSE,6.4,6.5,5.8
